title,categories/keyword,author_tags,title_tfidf
detecting allergen black tiger shrimp penaeus monodon bind crosslink ige elisa western blot humanized rat basophilic leukemia reporter cell line rsatlarticleopen access,allergy asthma immunology research,allergen humanized basophilic leukaemia reporter cell ige penaeus monodon allergen antigen arginine kinase crustacyanin glyceraldehyde phosphate dehydrogenase immunoglobulin e myosin heavy chain myosin heavy chain type myosin heavy chain type myosin heavy chain type myosin heavy chain type tropomyosin ubiquitin protein ligase unclassified drug adolescent adult animal cell article child clinical article cross linking enzyme linked immunosorbent assay extract female human immunoglobulin blood level male mast cell leukemia cell line middle aged molecular weight nonhuman penaeus monodon polyacrylamide gel electrophoresis procedure rat school child shellfish allergy shrimp extract tandem mass spectrometry western blotting young adult,[0. 0. 0. ... 0. 0. 0.]
study bsand b meson including observation bsbks decay protonproton collision stevarticleopen access,european physical journal c,b hadron cm experimental result hadron spectroscopy heavy flavour spectroscopy physic,[0. 0. 0. ... 0. 0. 0.]
actinomadura rhizosphaerae sp nov isolated rhizosphere soil plant azadirachta indicaarticleopen access,international journal systematic evolutionary microbiology,actinomadura rhizosphaerae actinomycete polyphasic taxonomy rhizosphere soil cardiolipin diaminopimelic acid fatty acid galactose glucose lipid madurose menaquinone muramic acid phosphatidylglycerol phosphatidylinositol ribose rna sugar unclassified drug bacterial dna diaminopimelic acid farnoquinone fatty acid menaquinone muramic acid phospholipid rna actinomadura actinomadura gamaensis actinomadura oligospora actinomadura rhizosphaerae actinomadura rupiterrae article azadirachta indica bacterial cell wall bacterium isolate dna base composition gene sequence genus new specie nonhuman nucleotide sequence phenotype priority journal rhizosphere sequence homology soil microflora taxonomy thailand type strain actinomycetales analog derivative azadirachta indica bacterium identification cell wall chemistry classification dna sequence genetics isolation purification microbiology nucleic acid hybridization phylogeny actinomycetales azadirachta bacterial typing technique base composition cell wall diaminopimelic acid dna bacterial fatty acid muramic acid nucleic acid hybridization phospholipid phylogeny rhizosphere rna ribosomal sequence analysis dna soil microbiology thailand vitamin k,[0. 0. 0. ... 0. 0. 0.]
closedculture system using gmpgrade culture bag anticd coated bead stimulation cdt cell expansion healthy hivinfected donorsarticle,journal immunological method,adoptive immunotherapy anticd coated bead cdt lymphocyte hivinfected patient vitro cell expansion antibody cd antibody cd antibody cd antigen guanosine phosphate unclassified drug cd antigen immunoglobulin e receptor monoclonal antibody article cd lymphocyte cell expansion cell growth cell isolation cell proliferation cell viability clinical article controlled study cryopreservation donor frozen section human human cell human immunodeficiency virus infected patient human immunodeficiency virus infection vitro study large scale production priority journal stimulation lymphocyte lymphocyte activation adult blood donor cd lymphocyte cell culture technique clinical trial drug effect female human immunodeficiency virus human immunodeficiency virus infection immunology male middle aged pathology procedure reproducibility adult antibody monoclonal blood donor cd complex cdpositive tlymphocytes cell culture technique cell proliferation female hiv infection hiv human male middle aged receptor ige reproducibility result,[0. 0. 0. ... 0. 0. 0.]
characteristic hydrochar liquid fraction hydrothermal carbonization cassava rhizomearticle,journal energy institute,agricultural waste biomass chemical platform lignicellulosic material waste utilization agricultural waste biomass carbonization chemical compound condensation reaction fatty acid lactic acid liquid organic acid plant botany propionic acid thermochemistry waste utilization effect temperature furfuryl alcohol hydrothermal carbonization hydroxymethylfurfural liquid fraction process parameter reaction temperature valuable chemical volatile fatty acid,[0. 0. 0. ... 0. 0. 0.]
search black hole sphalerons highmultiplicity final state protonproton collision tevarticleopen access,journal high energy physic,beyond standard model hadronhadron scattering experiment,[0. 0. 0. ... 0. 0. 0.]
physicochemical property hom nil oryza sativa rice flour gluten free ingredient breadarticleopen access,food,antioxidant bread gluten free hom mali hom nil physicochemical property,[0. 0. 0. ... 0. 0. 0.]
result profile phase iii comparison firstline crizotinib versus chemotherapy east asian patient alkpositive advanced nonsmall cell lung cancerarticle,journal thoracic oncology,alkpositive advanced nonsmall cell lung cancer chemotherapy crizotinib phase iii anaplastic lymphoma kinase carboplatin cisplatin crizotinib pemetrexed serum albumin antineoplastic agent crizotinib abdominal pain adult aged albumin blood level alk gene anemia article cancer chemotherapy constipation controlled study coughing crossover procedure decreased appetite diarrhea dizziness drug efficacy drug withdrawal dyspnea east asian edema fatigue female fever fluorescence situ hybridization gene rearrangement headache human hypersensitivity hypertransaminasemia hyponatremia interstitial lung disease leukopenia limb pain major clinical study male multicenter study multiple cycle treatment nausea neutropenia non small cell lung cancer open study overall survival phase clinical trial priority journal progression free survival quality life randomized controlled trial side effect thorax pain thrombocytopenia upper respiratory tract infection visual disorder vomiting asian continental ancestry group clinical trial lung tumor middle aged non small cell lung cancer pathology young adult adult aged antineoplastic combined chemotherapy protocol asian continental ancestry group carcinoma nonsmallcell lung crizotinib female human lung neoplasm male middle aged young adult,[0. 0. 0. ... 0. 0. 0.]
iloprost induces dental pulp angiogenesis growth factorfree dimensional organ culture systemarticle,journal endodontics,angiogenesis dental pulp iloprost revascularization toothslice collagen iloprost vasodilator agent adolescent adult angiogenesis confocal microscopy drug effect fluorescent antibody technique growth development aging human metabolism organ culture technique procedure tooth pulp vascularization young adult adolescent adult collagen dental pulp fluorescent antibody technique human iloprost microscopy confocal neovascularization physiologic organ culture technique vasodilator agent young adult,[0. 0. 0. ... 0. 0. 0.]
supersymmetric solution mattercoupled n gauged supergravityarticleopen access,physical review,,[0. 0. 0. ... 0. 0. 0.]
design multigrip pattern prosthetic hand single actuatorarticle,ieee transaction neural system rehabilitation engineering,artificial limb dwell mechanism prosthetic hand prosthetics single actuator terminal device upper limb prosthesis actuator degree freedom mechanic end effector prosthetics cosmetic appearance mechanism synthesis multipledegreeoffreedom prosthesis design prosthetic hand single actuator terminal device upper limb prosthesis artificial limb aluminum adult article body movement daily life activity finger grip force grip speed grip strength hand closing time human limb movement male metacarpophalangeal joint musculoskeletal system parameter performance pinch strength prosthesis design proximal interphalangeal joint thumb upper limb weight mass size biomechanics computer aided design hand hand strength prosthesis orthoses psychomotor performance activity daily living biomechanical phenomenon computeraided design finger hand hand strength human prosthesis implant prosthesis design psychomotor performance thumb,[0. 0. 0. ... 0. 0. 0.]
novel fluidized bed reactor configuration nitrate reduction low strength anaerobic wastewater treatmentarticleopen access,engineering journal,denitrification fluidized bed reactor low strength anaerobic treatment residence time distribution wastewater treatment,[0. 0. 0. ... 0. 0. 0.]
update noticelearn erratum linking scopus,color research application,colour emotion colour harmony crosscultural study universal model principal component analysis activepassive average correlation coefficient color research crosscultural study predictive performance psychophysical quantitative model universal model color argentina color correlation data lightness model performance sweden,[0. 0. 0. ... 0. 0. 0.]
factor related methamphetamine relapse risk among client substance rehabilitation center national narcotic board west java indonesiaarticleopen access,journal health research,dynamic model relapse methamphetamine rehabilitation relapse risk,[0. 0. 0. ... 0. 0. 0.]
bearing capacity shallow foundation clay linear increase strength adhesion factorarticle,marine georesources geotechnology,bearing capacity limit analysis lower bound analysis offshore shallow foundation secondorder cone programming soilfoundation interface strength inhomogeneity adhesion bearing capacity cell growth finite element method foundation soil inhomogeneity limit analysis lower bound analysis secondorder cone programming shallow foundation factor analysis adhesion bearing capacity clay footing inhomogeneity limit analysis prediction soilstructure interaction,[0. 0. 0. ... 0. 0. 0.]
exponential metric represents traversable wormholearticleopen access,physical review,,[0. 0. 0. ... 0. 0. 0.]
vertical capacity large deep barrette pile bangkok subsoilsconference paper,springer series geomechanics geoengineering,adhesion factor barrette pile friction factor pile capacity adhesion construction equipment friction load testing soil stressstrain curve tall building adhesion factor bangkok subsoil barrette pile boredpile friction factor limited space pile capacity sand layer vertical capacity vertical pile pile adhesion construction material friction pile soilstructure interaction stressstrain relationship subsoil bangkok central region thailand krung thep mahanakhon thailand,[0. 0. 0. ... 0. 0. 0.]
emulsion crosslinking technique human fibroblast encapsulationarticleopen access,international journal biomaterials,alginic acid calcium chloride phosphatidylcholine polysorbate sorbitan oleate aqueous solution article cell death cell encapsulation cell structure cell survival cell viability concentration parameter controlled study cross linking emulsion fibroblast human human cell microcapsule microencapsulation particle size surface tension,[0. 0. 0. ... 0. 0. 0.]
porcine rotavirus c pig gastroenteritis thai swine farm articleopen access,peerj,pig rotavirus c thailand vp vp proteinase rotavirus glycoprotein unclassified drug virus glycoprotein article cell cycle g phase feces analysis gastroenteritis gene expression gene frequency genotyping technique nonhuman nucleic acid analysis phylogeny pig pig farming porcine epidemic diarrhea virus prevalence protein expression reverse transcription polymerase chain reaction rotavirus c sequence analysis thailand virus spike,[0. 0. 0. ... 0. 0. 0.]
effect temperature time free amino acid profile thai chicken bone soup stock preparationarticle,thai journal pharmaceutical science,amino acid profile free amino acid soup stock umami taste alanine amino acid essential amino acid glutamic acid glutamine article bone chicken controlled study food color food quality heating high performance liquid chromatography nutritional value palatability taste temperature umami,[0. 0. 0. ... 0. 0. 0.]
comparative ultrasonographic computed tomographic image adrenal gland healthy catsarticle,thai journal veterinary medicine,adrenal gland cat computed tomography normal ultrasonography adrenal gland adult age animal experiment article body weight cat computer assisted tomography contrast enhancement controlled study echography female human male nonhuman reference value,[0. 0. 0. ... 0. 0. 0.]
insight substrate specificity change caused yh mutation glucosidase iii european honeybee apis mellifera molecular dynamic simulationsarticleopen access,plo one,alpha glucosidase maltose sucrose alpha glucosidase insect protein apis mellifera article binding affinity decomposition enzyme active site enzyme activity enzyme binding enzyme specificity enzyme substrate molecular dynamic mutation nonhuman ph protein hydrolysis temperature animal bee binding site chemistry enzyme specificity genetics hydrogen bond hydrolysis metabolism single nucleotide polymorphism thermodynamics alphaglucosidases animal bee binding site catalytic domain hydrogen bonding hydrolysis insect protein maltose molecular dynamic simulation polymorphism single nucleotide substrate specificity sucrose thermodynamics,[0. 0. 0. ... 0. 0. 0.]
potential carbon dioxide storage petroleum industry gulf thailand green productionconference paperopen access,iop conference series earth environmental science,carbon dioxide global warming sustainable development carbon capture storage cc carbon dioxide storage co geological storage formation characteristic green production gulf thailand monitoring period pressure build carbon capture,[0. 0. 0. ... 0. 0. 0.]
distinctive feature lowgrade myofibroblastic sarcoma aspiration cytology case reportarticle,cytopathology,calponin collagen smooth muscle actin vimentin aged article aspiration cytology cancer radiotherapy case report clinical article computer assisted tomography cytodiagnosis electron microscopy fine needle aspiration biopsy follow human human tissue immunohistochemistry low grade myofibroblastic sarcoma male mitosis rate myoepithelium cell myofibroblast papanicolaou test parotid gland disease pleomorphic adenoma priority journal rough endoplasmic reticulum sarcoma spindle cell swelling thin filament tissue section ultrastructure,[0. 0. 0. ... 0. 0. 0.]
social return investment communitybased alcohol consumption control program buddhist lentarticleopen access,journal health research,alcohol consumption buddhist lent communitybased program social return investment alcohol abstinence article buddhist controlled study cost benefit analysis cost control human interview investment program impact questionnaire scale,[0. 0. 0. ... 0. 0. 0.]
discharge performance zincair flow battery effect sodium dodecyl sulfate pluronic farticleopen access,scientific report,,[0. 0. 0. ... 0. 0. 0.]
flow budget change groundwater system climate change upper central plain thailandarticleopen access,engineering journal,climate change conjunctive use flow budget change thailand upper central plain,[0. 0. 0. ... 0. 0. 0.]
flow granular material bladed mixer effect particle property process parameter impeller torque power consumptionarticle,advanced powder technology,bladed mixer granular material impeller torque particulate flow regime shear rate digital storage electric power utilization friction glass granular material impeller mixer machinery particle size shear deformation shear flow torque bladed mixer different particle size friction coefficient impeller torque particle property particulate flow pharmaceutical industry process parameter particle particulate matter,[0. 0. 0. ... 0. 0. 0.]
new location recommendation technique social networkconference paper,acm international conference proceeding series,collaborative filtering cf contentbased filtering cbf recommender system r social filtering collaborative filtering location recommender system telecommunication service collaborative technique content based filtering contentbased technique evaluation result modern technology recommendation technique social filtering social relationship location based service,[0. 0. 0. ... 0. 0. 0.]
lcsoft tool lca new lcia methodology interpretationbook chapter,computer aided chemical engineering,environmental footprint life cycle assessment life cycle inventory sustainable process design,[0. 0. 0. ... 0. 0. 0.]
effect molten salt synthesis upconversion luminescence ytterbium thuliumdoped alkaline yttrium fluoridesconference paper,key engineering material,liyf molten salt nayf upconversion luminescence ceramic material eutectic fluorine compound fused salt laser excitation light luminescence potash potassium nitrate sodium nitrate thulium compound ytterbium yttrium compound eutectic molten salt liyf molten salt molten salt method nayf upconversion luminescence visible ultraviolet yttrium fluoride lithium compound,[0. 0. 0. ... 0. 0. 0.]
plasmid profile enterococcus faecium enterococcus faecalis isolated pig pork human thailaos border provincesarticle,thai journal veterinary medicine,enterococcus pig plasmid pork thailao border province animal experiment antibiotic sensitivity article bacterial strain commensal enterococcus enterococcus faecalis enterococcus faecium human molecular weight nonhuman pig plasmid pork thailand,[0. 0. 0. ... 0. 0. 0.]
update noticelearn erratum linking scopus,international journal heat fluid flow,driftflux model gasliquid flow horizontal flow void fraction boreholes error compensation liquid regression analysis velocity void fraction constitutive relationship distribution parameter drift flux modeling gas liquid twophase flow gas liquid flow horizontal flow superficial gas velocity void fraction gasliquid twophase flow two phase flow,[0. 0. 0. ... 0. 0. 0.]
putative role environmental mercury pathogenesis pathophysiology autism spectrum disorder subtypesreview,molecular neurobiology,autism spectrum disorder cytokine immune inflammation mercury oxidative stress calcium cytokine glutathione glutathione transferase leukocyte antigen mercury methylmercury nitric oxide synthase organomercury compound pattern recognition receptor selenoprotein thiol group thiomersal toll like receptor vasculotropin wart virus vaccine mercury astrocyte autism calcium cell level controlled study cytokine production delayed hypersensitivity disease association disease severity disorder mitochondrial function endothelium cell environmental exposure genetic code genetic polymorphism genetic variability heredity human immune response immune system inflammation microbiome microglia natural killer cell neurotoxicity oxidative stress pathogenesis pathophysiology pericyte propensity score review sex difference autism drug effect autism spectrum disorder environmental exposure human mercury oxidative stress,[0. 0. 0. ... 0. 0. 0.]
work engagement india thailand comparative analysisarticleopen access,global business review,asia crosscultural management hrdc selfefficacy work engagement,[0. 0. 0. ... 0. 0. 0.]
new formaldehyde sensor silver nanoclusters modified tollens reagentarticle,food chemistry,chemical sensor colorimetric sensor silver nanoclusters surface plasmon resonance tollens reagent chemical sensor color formaldehyde nanoclusters particle size silver surface plasmon resonance absorbance band chemodosimeters colorimetric assay colorimetric sensor formaldehyde sensor lower detection limit polymethacrylic acid silver nanoclusters colorimetry acetylacetone aldehyde derivative formaldehyde reagent silver silver nanoparticle tollens reagent unclassified drug dye reagent indicator marker buffer formaldehyde metal nanoparticle polymethacrylic acid polymethacrylic acid derivative silver absorption article chicken colorimetry food contamination incubation time limit detection ph squid particle size procedure colorimetry formaldehyde indicator reagent limit detection metal nanoparticles particle size polymethacrylic acid silver,[0. 0. 0. ... 0. 0. 0.]
variational formulation interaction elastic plate elastic medium influence surface energyconference paperopen access,matec web conference,geometry hydroelasticity interfacial energy potential energy function elastic circular plate interaction problem isotropic elastic half space surface elasticity surface energy effect total potential energy undetermined coefficient variational formulation plate structural component,[0. 0. 0. ... 0. 0. 0.]
copper oxide nanoparticles cause dosedependent toxicity via inducing reactive oxygen specie drosophilaarticleopen access,nanomaterials,copper oxide nanoparticle cytotoxicity drosophila melanogaster nrf reactive oxygen specie,[0. 0. 0. ... 0. 0. 0.]
creative industry policy thailand story rise demisebook chapteropen access,routledge handbook cultural creative industry asia,,[0. 0. 0. ... 0. 0. 0.]
knowledge attitude cultural factor toward utilization insecticide treated net itns among rakhine ethnic group ann township rakhine state myanmar cross sectional studyarticle,journal health research,knowledge attitude cultural factor malaria myanmar utilization insecticide treated net,[0. 0. 0. ... 0. 0. 0.]
fulllength genome characterization genetic diversity evolutionary analysis senecavirus isolated thailand article,infection genetics evolution,fulllength genome pig senecavirus thailand protein vp protein vp protein vp protein vp virus rna untranslated region untranslated region amino acid sequence amino acid substitution antigenicity article binding site cell fusion genetic recombination genetic similarity genetic variability genome hydrophilicity hydrophobicity molecular evolution molecular phylogeny nonhuman nucleotide sequence phylogenetic tree picornaviridae protein secondary structure purifying selection receptor binding senecavirus sequence alignment thailand virus detection virus isolation animal genetic variation genetics immunology isolation purification mutation phylogeny phylogeography picornaviridae picornavirus infection pig swine disease veterinary medicine virology virus genome amino acid substitution animal evolution molecular genetic variation genome viral mutation phylogeny phylogeography picornaviridae picornaviridae infection rna viral swine swine disease thailand,[0. 0. 0. ... 0. 0. 0.]
mitoq supplementation prevent longterm impact maternal smoking renal development oxidative stress mitochondrial density male mouse offspringarticleopen access,scientific report,ubiquinonyldecyltriphenylphosphonium bromide advanced glycation end product receptor autacoid biological marker organophosphorus compound ubiquinone adverse event animal dietary supplement embryology female fluorescent antibody technique kidney male maternal exposure metabolism mitochondrion mouse oxidative stress pregnancy prenatal exposure signal transduction smoking animal biomarkers dietary supplement female fluorescent antibody technique inflammation mediator kidney male maternal exposure mouse mitochondrion organophosphorus compound oxidative stress pregnancy prenatal exposure delayed effect receptor advanced glycation end product signal transduction smoking ubiquinone,[0. 0. 0. ... 0. 0. 0.]
immunopathogenic immunomodulatory effect interleukin periodontal diseasereviewopen access,european journal oral science,bone remodeling immunomodulation inflammation interleukin periodontal disease interleukin animal cellular immunity human immunology mouse periodontal disease periodontium physiology animal human immunity cellular interleukin mouse periodontal disease periodontium,[0. 0. 0. ... 0. 0. 0.]
cadmium removal contaminated sediment using edta dtpa water hyacintharticle,international journal environmental research,cadmium dtpa edta phytoremediation sediment water hyacinth aquatic plant biological uptake cadmium dtpa edta ph phytoremediation sediment pollution eichhornia crassipes,[0. 0. 0. ... 0. 0. 0.]
evapotranspiration water yield pinebroadleaf forest altered longterm atmospheric co enrichment native enhanced soil fertilityarticleopen access,global change biology,carbon dioxide evapotranspiration leaf area index runoff soil fertility water budget water yield coniferophyta pinus taeda carbon dioxide water chemistry ecosystem evapotranspiration forest loblolly pine metabolism physiology plant leaf soil carbon dioxide ecosystem forest pinus taeda plant leaf plant transpiration soil water,[0. 0. 0. ... 0. 0. 0.]
hemocyanin litopenaeus vannamei agglutinates vibrio parahaemolyticus ahpnd vpahpnd neutralizes toxinarticle,developmental comparative immunology,hemocyanin shrimp immunity toxin neutralization vibrio parahaemolyticus ahpnd hemocyanin hemocyanin subunit l hemocyanin subunit l hemocyanin subunit l hemocyanin subunit l unclassified drug antiinfective agent arthropod protein bacterial toxin hemocyanin acute hepatopancreatic necrosis disease animal experiment animal tissue article controlled study crustacean disease developmental stage regulation gene gene expression gene identification gene library hepatopancreas hmc gene litopenaeus vannamei mortality nonhuman priority journal protein expression suppression subtractive hybridization upregulation vibrio parahaemolyticus vibrio parahaemolyticus infection animal animal disease antigen antibody reaction hemolymph immunology innate immunity metabolism microbiology necrosis pathology penaeidae shellfish vibrio parahaemolyticus vibriosis agglutination animal disease animal antibacterial agent arthropod protein bacterial toxin hemocyanins hemolymph hepatopancreas immunity innate necrosis penaeidae shellfish vibrio infection vibrio parahaemolyticus,[0. 0. 0. ... 0. 0. 0.]
fluorogenic pna probesreviewopen access,beilstein journal organic chemistry,dna fluorescence molecular beacon molecular probe oligonucelotides rna,[0. 0. 0. ... 0. 0. 0.]
synthesis characterization mixed rare earth hydroxide catalystconference paper,material science forum,coprecipitation rare earth heterogeneous catalyst cerium cerium compound coprecipitation energy dispersive spectroscopy nanotechnology rare earth scanning electron microscopy sodium hydroxide x ray diffraction energy dispersive x ray spectroscopy heterogeneous catalyst lanthanum la mixed rare earth neodymium nd semeds synthesis characterization x ray fluorescence catalyst,[0. 0. 0. ... 0. 0. 0.]
evidence associated production single top quark photon protonproton collision tevarticleopen access,physical review letter,germanium compound tellurium compound branching fraction hadronization integrated luminosity isolated photon proton proton collision standard deviation standard model transverse momentum photon,[0. 0. 0. ... 0. 0. 0.]
active packaging chitosantitanium dioxide nanocomposite film prolonging storage life tomato fruitarticle,international journal biological macromolecule,active packaging climacteric fruit ethylene scavenging nanocomposite photocatalyst ascorbic acid carbon dioxide chitosan ethylene lycopene nanocomposite titanium dioxide nanoparticle ascorbic acid carbon dioxide chitosan ethylene ethylene derivative nanocomposite titanium titanium dioxide article biochemical composition body weight loss chemical procedure cherry classification color controlled study feasibility study food packaging food quality food storage fruit ripening light exposure nonhuman particle size photodegradation physical parameter quality control shelf life storage temperature synthesis tomato ultraviolet radiation chemistry drug effect food packaging food preservation tomato ascorbic acid carbon dioxide chitosan ethylene food packaging food preservation food storage lycopersicon esculentum nanocomposites titanium,[0. 0. 0. ... 0. 0. 0.]
phenomenology supernatural belief ravenous spirit phii pob belief tradition contemporary northeast thailandarticle,asian ethnology,folk belief northeast thailand ravenous spirit belief tradition supernatural belief thai folklore,[0. 0. 0. ... 0. 0. 0.]
cave associated infection issue tropical medicineletteropen access,journal health science medical research,cave infection medicine,[0. 0. 0. ... 0. 0. 0.]
preparation old age wellbeing later life thailand gender mattersarticle,journal applied gerontology,financial satisfaction gender health life satisfaction reflexive retirement planning adult aged article cohort analysis daily life activity education female financial management gender household human life satisfaction male marriage personal income retirement satisfaction sex difference social participation social stratification elderly wellbeing caregiver demography disabled person health status income middle aged quality life questionnaire religion sex factor social class thailand aged aged caregiver disabled person female health status human income male middle aged personal satisfaction quality life residence characteristic sex factor social class spirituality survey questionnaire thailand,[0. 0. 0. ... 0. 0. 0.]
expression kisspeptin receptor domestic cat ovary uterus different stage ovarian cyclearticle,theriogenology,felid kiss kissr kiss receptor kisspeptin animal cat dog estrus cycle female immunohistochemistry metabolism ovary rat uterus animal cat dog estrous cycle female immunohistochemistry kisspeptins ovary rat receptor kisspeptin uterus,[0. 0. 0. ... 0. 0. 0.]
proteomewide identification epitopebased vaccine candidate multidrug resistant proteus mirabilisarticle,biologicals,epitope fimbria proteus mirabilis urinary tract infection vaccine atfc protein epitope outer membrane protein pmi protein pmi protein proteome unclassified drug vaccine bacterial vaccine epitope hla drb antigen hladrb antigen outer membrane protein proteome allergenicity antigenicity article b lymphocyte bacterial growth bacterial survival bacterial virulence extracellular matrix immune response molecular docking multidrug resistance nonhuman outer membrane priority journal protein analysis protein binding protein localization protein protein interaction proteus mirabilis lymphocyte chemistry human immunology proteus vulgaris bacterial outer membrane protein bacterial vaccine drug resistance multiple bacterial epitope hladrb chain human molecular docking simulation proteome proteus vulgaris,[0. 0. 0. ... 0. 0. 0.]
