title,categories/keyword,author_tags
pressure transmission area and maximum pressure transmission of different thermoplastic resin denture base materials under impact load(article),journal of prosthodontic research,"['impact load', 'maximum pressure transmission', 'pressure transmission area', 'thermoplastic resin denture base materials', 'acrylic acid resin', 'dental material', 'nylon', 'poly(methyl methacrylate)', 'polycarbonate', 'polycarboxylate cement', 'resin', 'dental procedure', 'denture', 'denture base', 'denture design', 'elasticity', 'hardness', 'materials testing', 'mechanical stress', 'polymerization', 'pressure', 'acrylic resins', 'dental materials', 'dental stress analysis', 'denture bases', 'denture design', 'dentures', 'elasticity', 'hardness', 'materials testing', 'nylons', 'polycarboxylate cement', 'polymerization', 'polymethyl methacrylate', 'pressure', 'resins, synthetic', 'stress, mechanical']"
application of d-amino acids as biofilm dispersing agent in dental unit waterlines(article)(open access),international journal of dentistry,[]
graceful exit for the cosmological constant damping scenario(article)(open access),physical review d,[]
synthesis of glycerol carbonate from dimethyl carbonate and glycerol using cao derived from eggshells(conference paper)(open access),matec web of conferences,"['carbonation', 'catalyst activity', 'cost effectiveness', 'waste treatment', 'catalyst loadings', 'dimethyl carbonate', 'feed molar ratio', 'glycerol carbonate', 'glycerol conversions', 'operating condition', 'reaction performance', 'reaction temperature', 'glycerol']"
"detecting allergens from black tiger shrimp penaeus monodon that can bind and cross-link ige by elisa, western blot, and a humanized rat basophilic leukemia reporter cell line rs-atl8(article)(open access)","allergy, asthma and immunology research","['allergens', 'humanized basophilic leukaemia reporter cell', 'ige', 'penaeus monodon', 'allergen', 'antigen', 'arginine kinase', 'crustacyanin', 'glyceraldehyde 3 phosphate dehydrogenase', 'immunoglobulin e', 'myosin heavy chain', 'myosin heavy chain type 1', 'myosin heavy chain type 2', 'myosin heavy chain type 3', 'myosin heavy chain type 6a', 'tropomyosin', 'ubiquitin protein ligase', 'unclassified drug', 'adolescent', 'adult', 'animal cell', 'article', 'child', 'clinical article', 'cross linking', 'enzyme linked immunosorbent assay', 'extract', 'female', 'human', 'immunoglobulin blood level', 'male', 'mast cell leukemia cell line', 'middle aged', 'molecular weight', 'nonhuman', 'penaeus monodon', 'polyacrylamide gel electrophoresis', 'procedures', 'rat', 'school child', 'shellfish allergy', 'shrimp extract', 'tandem mass spectrometry', 'western blotting', 'young adult']"
studies of bs2∗(5840)0and bs 1(5830)0mesons including the observation of the bs2∗(5840)0→b0ks0 decay in proton-proton collisions at √s=8tev(article)(open access),european physical journal c,"['b hadrons', 'cms', 'experimental results', 'hadron spectroscopy', 'heavy flavour spectroscopy', 'physics']"
"actinomadura rhizosphaerae sp. nov., isolated from rhizosphere soil of the plant azadirachta indica(article)(open access)",international journal of systematic and evolutionary microbiology,"['actinomadura rhizosphaerae', 'actinomycetes', 'polyphasic taxonomy', 'rhizosphere soil', 'cardiolipin', 'diaminopimelic acid', 'fatty acid', 'galactose', 'glucose', 'lipid', 'madurose', 'menaquinone', 'muramic acid', 'phosphatidylglycerol', 'phosphatidylinositol', 'ribose', 'rna 16s', 'sugar', 'unclassified drug', 'bacterial dna', 'diaminopimelic acid', 'farnoquinone', 'fatty acid', 'menaquinone', 'muramic acid', 'phospholipid', 'rna 16s', 'actinomadura', 'actinomadura gamaensis', 'actinomadura oligospora', 'actinomadura rhizosphaerae', 'actinomadura rupiterrae', 'article', 'azadirachta indica', 'bacterial cell wall', 'bacterium isolate', 'dna base composition', 'gene sequence', 'genus', 'new species', 'nonhuman', 'nucleotide sequence', 'phenotype', 'priority journal', 'rhizosphere', 'sequence homology', 'soil microflora', 'taxonomy', 'thailand', 'type strain', 'actinomycetales', 'analogs and derivatives', 'azadirachta indica', 'bacterium identification', 'cell wall', 'chemistry', 'classification', 'dna sequence', 'genetics', 'isolation and purification', 'microbiology', 'nucleic acid hybridization', 'phylogeny', 'actinomycetales', 'azadirachta', 'bacterial typing techniques', 'base composition', 'cell wall', 'diaminopimelic acid', 'dna, bacterial', 'fatty acids', 'muramic acids', 'nucleic acid hybridization', 'phospholipids', 'phylogeny', 'rhizosphere', 'rna, ribosomal, 16s', 'sequence analysis, dna', 'soil microbiology', 'thailand', 'vitamin k 2']"
a closed-culture system using a gmp-grade culture bag and anti-cd3/28 coated bead stimulation for cd4+t cell expansion from healthy and hiv-infected donors(article),journal of immunological methods,"['adoptive immunotherapy', 'anti-cd3/28 coated beads', 'cd4+t lymphocytes', 'hiv-infected patients', 'in vitro cell expansion', 'antibody', 'cd28 antibody', 'cd3 antibody', 'cd4 antigen', 'guanosine phosphate', 'unclassified drug', 'cd3 antigen', 'immunoglobulin e receptor', 'monoclonal antibody', 'article', 'cd4+ t lymphocyte', 'cell expansion', 'cell growth', 'cell isolation', 'cell proliferation', 'cell viability', 'clinical article', 'controlled study', 'cryopreservation', 'donor', 'frozen section', 'human', 'human cell', 'human immunodeficiency virus infected patient', 'human immunodeficiency virus infection', 'in vitro study', 'large scale production', 'priority journal', 'stimulation', 't lymphocyte', 't lymphocyte activation', 'adult', 'blood donor', 'cd4+ t lymphocyte', 'cell culture technique', 'clinical trial', 'drug effect', 'female', 'human immunodeficiency virus 1', 'human immunodeficiency virus infection', 'immunology', 'male', 'middle aged', 'pathology', 'procedures', 'reproducibility', 'adult', 'antibodies, monoclonal', 'blood donors', 'cd3 complex', 'cd4-positive t-lymphocytes', 'cell culture techniques', 'cell proliferation', 'female', 'hiv infections', 'hiv-1', 'humans', 'male', 'middle aged', 'receptors, ige', 'reproducibility of results']"
characteristics of hydrochar and liquid fraction from hydrothermal carbonization of cassava rhizome(article),journal of the energy institute,"['agricultural waste', 'biomass', 'chemical platform', 'lignicellulosic material', 'waste utilization', 'agricultural wastes', 'biomass', 'carbonization', 'chemical compounds', 'condensation reactions', 'fatty acids', 'lactic acid', 'liquids', 'organic acids', 'plants (botany)', 'propionic acid', 'thermochemistry', 'waste utilization', 'effect of temperature', 'furfuryl alcohol', 'hydrothermal carbonization', 'hydroxymethylfurfural', 'liquid fraction', 'process parameters', 'reaction temperature', 'valuable chemicals', 'volatile fatty acids']"
search for black holes and sphalerons in high-multiplicity final states in proton-proton collisions at √s=13 tev(article)(open access),journal of high energy physics,"['beyond standard model', 'hadron-hadron scattering (experiments)']"
physicochemical properties of hom nil (oryza sativa) rice flour as gluten free ingredient in bread(article)(open access),foods,"['antioxidant', 'bread', 'gluten free', 'hom mali', 'hom nil', 'physicochemical properties']"
"results of profile 1029, a phase iii comparison of first-line crizotinib versus chemotherapy in east asian patients with alk-positive advanced non–small cell lung cancer(article)",journal of thoracic oncology,"['alk-positive advanced non–small cell lung cancer', 'chemotherapy', 'crizotinib', 'phase iii', 'anaplastic lymphoma kinase', 'carboplatin', 'cisplatin', 'crizotinib', 'pemetrexed', 'serum albumin', 'antineoplastic agent', 'crizotinib', 'abdominal pain', 'adult', 'aged', 'albumin blood level', 'alk gene', 'anemia', 'article', 'cancer chemotherapy', 'constipation', 'controlled study', 'coughing', 'crossover procedure', 'decreased appetite', 'diarrhea', 'dizziness', 'drug efficacy', 'drug withdrawal', 'dyspnea', 'east asian', 'edema', 'fatigue', 'female', 'fever', 'fluorescence in situ hybridization', 'gene rearrangement', 'headache', 'human', 'hypersensitivity', 'hypertransaminasemia', 'hyponatremia', 'interstitial lung disease', 'leukopenia', 'limb pain', 'major clinical study', 'male', 'multicenter study', 'multiple cycle treatment', 'nausea', 'neutropenia', 'non small cell lung cancer', 'open study', 'overall survival', 'phase 3 clinical trial', 'priority journal', 'progression free survival', 'quality of life', 'randomized controlled trial', 'side effect', 'thorax pain', 'thrombocytopenia', 'upper respiratory tract infection', 'visual disorder', 'vomiting', 'asian continental ancestry group', 'clinical trial', 'lung tumor', 'middle aged', 'non small cell lung cancer', 'pathology', 'young adult', 'adult', 'aged', 'antineoplastic combined chemotherapy protocols', 'asian continental ancestry group', 'carcinoma, non-small-cell lung', 'crizotinib', 'female', 'humans', 'lung neoplasms', 'male', 'middle aged', 'young adult']"
iloprost induces dental pulp angiogenesis in a growth factor–free 3-dimensional organ culture system(article),journal of endodontics,"['angiogenesis', 'dental pulp', 'iloprost', 'revascularization', 'tooth-slice', 'collagen', 'iloprost', 'vasodilator agent', 'adolescent', 'adult', 'angiogenesis', 'confocal microscopy', 'drug effect', 'fluorescent antibody technique', 'growth, development and aging', 'human', 'metabolism', 'organ culture technique', 'procedures', 'tooth pulp', 'vascularization', 'young adult', 'adolescent', 'adult', 'collagen', 'dental pulp', 'fluorescent antibody technique', 'humans', 'iloprost', 'microscopy, confocal', 'neovascularization, physiologic', 'organ culture techniques', 'vasodilator agents', 'young adult']"
supersymmetric solutions of matter-coupled 7d n=2 gauged supergravity(article)(open access),physical review d,[]
design of multi-grip patterns prosthetic hand with single actuator(article),ieee transactions on neural systems and rehabilitation engineering,"['artificial limbs', 'dwell mechanism', 'prosthetic hand', 'prosthetics', 'single actuator', 'terminal device', 'upper limb prosthesis', 'actuators', 'degrees of freedom (mechanics)', 'end effectors', 'prosthetics', 'cosmetic appearance', 'mechanism synthesis', 'multiple-degree-of-freedom', 'prosthesis design', 'prosthetic hands', 'single actuators', 'terminal devices', 'upper limb prosthesis', 'artificial limbs', 'aluminum', 'adult', 'article', 'body movement', 'daily life activity', 'finger', 'grip force', 'grip speed', 'grip strength', 'hand closing time', 'human', 'limb movement', 'male', 'metacarpophalangeal joint', 'musculoskeletal system parameters', 'performance', 'pinch strength', 'prosthesis design', 'proximal interphalangeal joint', 'thumb', 'upper limb', 'weight, mass and size', 'biomechanics', 'computer aided design', 'hand', 'hand strength', 'prostheses and orthoses', 'psychomotor performance', 'activities of daily living', 'biomechanical phenomena', 'computer-aided design', 'fingers', 'hand', 'hand strength', 'humans', 'prostheses and implants', 'prosthesis design', 'psychomotor performance', 'thumb']"
a novel fluidized bed reactor configuration for nitrate reduction and low strength anaerobic wastewater treatment(article)(open access),engineering journal,"['denitrification', 'fluidized bed reactor', 'low strength anaerobic treatment', 'residence time distribution', 'wastewater treatment']"
update noticelearn more about errata linking in scopus,color research and application,"['colour emotion', 'colour harmony', 'cross-cultural study', 'universal model', 'principal component analysis', 'active/passive', 'average correlation coefficients', 'color research', 'cross-cultural study', 'predictive performance', 'psychophysical', 'quantitative models', 'universal model', 'color', 'argentina', 'color', 'correlation', 'data', 'lightness', 'models', 'performance', 'sweden']"
"factors related to methamphetamine relapse risk among clients in the substance rehabilitation center of national narcotics board in west java, indonesia(article)(open access)",journal of health research,"['dynamic model of relapse', 'methamphetamine', 'rehabilitation', 'relapse risk']"
bearing capacity of shallow foundations in clay with linear increase in strength and adhesion factor(article),marine georesources and geotechnology,"['bearing capacity', 'limit analysis', 'lower bound analysis', 'offshore shallow foundation', 'second-order cone programming', 'soil–foundation interface', 'strength inhomogeneity', 'adhesion', 'bearing capacity', 'cell growth', 'finite element method', 'foundations', 'soils', 'inhomogeneities', 'limit analysis', 'lower bound analysis', 'second-order cone programming', 'shallow foundations', 'factor analysis', 'adhesion', 'bearing capacity', 'clay', 'footing', 'inhomogeneity', 'limit analysis', 'prediction', 'soil-structure interaction']"
exponential metric represents a traversable wormhole(article)(open access),physical review d,[]
vertical capacity of large and deep barrette pile for bangkok subsoils(conference paper),springer series in geomechanics and geoengineering,"['adhesion factor', 'barrette pile', 'friction factor', 'pile capacity', 'adhesion', 'construction equipment', 'friction', 'load testing', 'soils', 'stress-strain curves', 'tall buildings', 'adhesion factors', 'bangkok subsoil', 'barrette pile', 'bored-pile', 'friction factors', 'limited space', 'pile capacity', 'sand layer', 'vertical capacity', 'vertical piles', 'piles', 'adhesion', 'construction material', 'friction', 'pile', 'soil-structure interaction', 'stress-strain relationship', 'subsoil', 'bangkok', 'central region [thailand]', 'krung thep mahanakhon', 'thailand']"
emulsion cross-linking technique for human fibroblast encapsulation(article)(open access),international journal of biomaterials,"['alginic acid', 'calcium chloride', 'phosphatidylcholine', 'polysorbate 80', 'sorbitan oleate', 'aqueous solution', 'article', 'cell death', 'cell encapsulation', 'cell structure', 'cell survival', 'cell viability', 'concentration (parameters)', 'controlled study', 'cross linking', 'emulsion', 'fibroblast', 'human', 'human cell', 'microcapsule', 'microencapsulation', 'particle size', 'surface tension']"
"porcine rotavirus c in pigs with gastroenteritis on thai swine farms, 2011-2016(article)(open access)",peerj,"['pigs', 'rotavirus c', 'thailand', 'vp4', 'vp7', 'proteinase', 'rotavirus glycoprotein', 'unclassified drug', 'virus glycoprotein', 'article', 'cell cycle g1 phase', 'feces analysis', 'gastroenteritis', 'gene expression', 'gene frequency', 'genotyping technique', 'nonhuman', 'nucleic acid analysis', 'phylogeny', 'pig', 'pig farming', 'porcine epidemic diarrhea virus', 'prevalence', 'protein expression', 'reverse transcription polymerase chain reaction', 'rotavirus c', 'sequence analysis', 'thailand', 'virus spike']"
effect of temperature and time on free amino acid profile in thai chicken bone soup stock preparation(article),thai journal of pharmaceutical sciences,"['amino acid profile', 'free amino acid', 'soup stock', 'umami taste', 'alanine', 'amino acid', 'essential amino acid', 'glutamic acid', 'glutamine', 'article', 'bone', 'chicken', 'controlled study', 'food color', 'food quality', 'heating', 'high performance liquid chromatography', 'nutritional value', 'palatability', 'taste', 'temperature', 'umami']"
comparative ultrasonographic and computed tomographic images of the adrenal glands of healthy cats(article),thai journal of veterinary medicine,"['adrenal glands', 'cats', 'computed tomography', 'normal', 'ultrasonography', 'adrenal gland', 'adult', 'age', 'animal experiment', 'article', 'body weight', 'cat', 'computer assisted tomography', 'contrast enhancement', 'controlled study', 'echography', 'female', 'human', 'male', 'nonhuman', 'reference value']"
insight into the substrate specificity change caused by the y227h mutation of α-glucosidase iii from the european honeybee (apis mellifera) through molecular dynamics simulations(article)(open access),plos one,"['alpha glucosidase', 'maltose', 'sucrose', 'alpha glucosidase', 'insect protein', 'apis mellifera', 'article', 'binding affinity', 'decomposition', 'enzyme active site', 'enzyme activity', 'enzyme binding', 'enzyme specificity', 'enzyme substrate', 'molecular dynamics', 'mutation', 'nonhuman', 'ph', 'protein hydrolysis', 'temperature', 'animal', 'bee', 'binding site', 'chemistry', 'enzyme specificity', 'genetics', 'hydrogen bond', 'hydrolysis', 'metabolism', 'single nucleotide polymorphism', 'thermodynamics', 'alpha-glucosidases', 'animals', 'bees', 'binding sites', 'catalytic domain', 'hydrogen bonding', 'hydrolysis', 'insect proteins', 'maltose', 'molecular dynamics simulation', 'polymorphism, single nucleotide', 'substrate specificity', 'sucrose', 'thermodynamics']"
potential of carbon dioxide storage from petroleum industries in the gulf of thailand for green production(conference paper)(open access),iop conference series: earth and environmental science,"['carbon dioxide', 'global warming', 'sustainable development', 'carbon capture and storages (ccs)', 'carbon dioxide storage', 'co2 geological storages', 'formation characteristics', 'green production', 'gulf of thailand', 'monitoring periods', 'pressure build up', 'carbon capture']"
distinctive features of low-grade myofibroblastic sarcoma on aspiration cytology: a case report(article),cytopathology,"['calponin', 'collagen', 'smooth muscle actin', 'vimentin', 'aged', 'article', 'aspiration cytology', 'cancer radiotherapy', 'case report', 'clinical article', 'computer assisted tomography', 'cytodiagnosis', 'electron microscopy', 'fine needle aspiration biopsy', 'follow up', 'human', 'human tissue', 'immunohistochemistry', 'low grade myofibroblastic sarcoma', 'male', 'mitosis rate', 'myoepithelium cell', 'myofibroblast', 'papanicolaou test', 'parotid gland disease', 'pleomorphic adenoma', 'priority journal', 'rough endoplasmic reticulum', 'sarcoma', 'spindle cell', 'swelling', 'thin filament', 'tissue section', 'ultrastructure']"
social return on investment for community-based alcohol consumption control program during buddhist lent(article)(open access),journal of health research,"['alcohol consumption', 'buddhist lent', 'community-based program', 'social return on investment', 'alcohol abstinence', 'article', 'buddhist', 'controlled study', 'cost benefit analysis', 'cost control', 'human', 'interview', 'investment', 'program impact', 'questionnaire', 'scale up']"
discharge performance of zinc-air flow batteries under the effects of sodium dodecyl sulfate and pluronic f-127(article)(open access),scientific reports,[]
"flow budget change of groundwater system under climate change in the upper central plain, thailand(article)(open access)",engineering journal,"['climate change', 'conjunctive use', 'flow budget change', 'thailand', 'upper central plain']"
flow of granular materials in a bladed mixer: effect of particle properties and process parameters on impeller torque and power consumption(article),advanced powder technology,"['bladed mixer', 'granular material', 'impeller torque', 'particulate flow regime', 'shear rate', 'digital storage', 'electric power utilization', 'friction', 'glass', 'granular materials', 'impellers', 'mixers (machinery)', 'particle size', 'shear deformation', 'shear flow', 'torque', 'bladed mixers', 'different particle sizes', 'friction coefficients', 'impeller torque', 'particle properties', 'particulate flows', 'pharmaceutical industry', 'process parameters', 'particles (particulate matter)']"
new location recommendation technique on social network(conference paper),acm international conference proceeding series,"['collaborative filtering (cf)', 'content-based filtering (cbf)', 'recommender system (rs)', 'social filtering', 'collaborative filtering', 'location', 'recommender systems', 'telecommunication services', 'collaborative technique', 'content based filtering', 'content-based techniques', 'evaluation results', 'modern technologies', 'recommendation techniques', 'social filtering', 'social relationships', 'location based services']"
lcsoft as a tool for lca: new lcia methodologies and interpretation(book chapter),computer aided chemical engineering,"['environmental footprint', 'life cycle assessment', 'life cycle inventory', 'sustainable process design']"
effect of molten salts on synthesis and upconversion luminescence of ytterbium and thulium-doped alkaline yttrium fluorides(conference paper),key engineering materials,"['liyf4', 'molten salt', 'nayf4', 'upconversion luminescence', 'ceramic materials', 'eutectics', 'fluorine compounds', 'fused salts', 'laser excitation', 'light', 'luminescence', 'potash', 'potassium nitrate', 'sodium nitrate', 'thulium compounds', 'ytterbium', 'yttrium compounds', 'eutectic molten salt', 'liyf4', 'molten salt', 'molten salt method', 'nayf4', 'up-conversion luminescence', 'visible and ultraviolet', 'yttrium fluoride', 'lithium compounds']"
"plasmid profile of enterococcus faecium and enterococcus faecalis isolated from pigs, pork and humans in thai-laos border provinces(article)",thai journal of veterinary medicine,"['enterococcus', 'pig', 'plasmid', 'pork', 'thai-lao border provinces', 'animal experiment', 'antibiotic sensitivity', 'article', 'bacterial strain', 'commensal', 'enterococcus', 'enterococcus faecalis', 'enterococcus faecium', 'human', 'molecular weight', 'nonhuman', 'pig', 'plasmid', 'pork', 'thailand']"
update noticelearn more about errata linking in scopus,international journal of heat and fluid flow,"['drift-flux model', 'gas-liquid flow', 'horizontal flows', 'void fraction', 'boreholes', 'error compensation', 'liquids', 'regression analysis', 'velocity', 'void fraction', 'constitutive relationships', 'distribution parameters', 'drift flux modeling', 'gas - liquid two-phase flows', 'gas liquid flows', 'horizontal flows', 'superficial gas velocities', 'void fraction of gas-liquid two-phase flow', 'two phase flow']"
the putative role of environmental mercury in the pathogenesis and pathophysiology of autism spectrum disorders and subtypes(review),molecular neurobiology,"['autism spectrum disorders', 'cytokines', 'immune', 'inflammation', 'mercury', 'oxidative stress', 'calcium', 'cytokine', 'glutathione', 'glutathione transferase', 'leukocyte antigen', 'mercury', 'methylmercury', 'nitric oxide synthase', 'organomercury compound', 'pattern recognition receptor', 'selenoprotein', 'thiol group', 'thiomersal', 'toll like receptor', 'vasculotropin', 'wart virus vaccine', 'mercury', 'astrocyte', 'autism', 'calcium cell level', 'controlled study', 'cytokine production', 'delayed hypersensitivity', 'disease association', 'disease severity', 'disorders of mitochondrial functions', 'endothelium cell', 'environmental exposure', 'genetic code', 'genetic polymorphism', 'genetic variability', 'heredity', 'human', 'immune response', 'immune system', 'inflammation', 'microbiome', 'microglia', 'natural killer cell', 'neurotoxicity', 'oxidative stress', 'pathogenesis', 'pathophysiology', 'pericyte', 'propensity score', 'review', 'sex difference', 'autism', 'drug effect', 'autism spectrum disorder', 'environmental exposure', 'humans', 'mercury', 'oxidative stress']"
work engagement in india and thailand: a comparative analysis(article)(open access),global business review,"['asia', 'cross-cultural management', 'hrdc', 'it', 'self-efficacy', 'work engagement']"
a new formaldehyde sensor from silver nanoclusters modified tollens’ reagent(article),food chemistry,"['chemical sensors', 'colorimetric sensors', 'silver nanoclusters', 'surface plasmon resonance', 'tollens’ reagent', 'chemical sensors', 'color', 'formaldehyde', 'nanoclusters', 'particle size', 'silver', 'surface plasmon resonance', 'absorbance bands', 'chemodosimeters', 'colorimetric assays', 'colorimetric sensors', 'formaldehyde sensor', 'lower detection limit', 'polymethacrylic acid', 'silver nanoclusters', 'colorimetry', 'acetylacetone', 'aldehyde derivative', 'formaldehyde', 'reagent', 'silver', 'silver nanoparticle', 'tollens reagent', 'unclassified drug', 'dyes, reagents, indicators, markers and buffers', 'formaldehyde', 'metal nanoparticle', 'polymethacrylic acid', 'polymethacrylic acid derivative', 'silver', 'absorption', 'article', 'chicken', 'colorimetry', 'food contamination', 'incubation time', 'limit of detection', 'ph', 'squid', 'particle size', 'procedures', 'colorimetry', 'formaldehyde', 'indicators and reagents', 'limit of detection', 'metal nanoparticles', 'particle size', 'polymethacrylic acids', 'silver']"
variational formulation of interaction between elastic plate and elastic medium under the influence of surface energy(conference paper)(open access),matec web of conferences,"['geometry', 'hydroelasticity', 'interfacial energy', 'potential energy functions', 'elastic circular plate', 'interaction problems', 'isotropic elastic half space', 'surface elasticities', 'surface energy effects', 'total potential energy', 'undetermined coefficients', 'variational formulation', 'plates (structural components)']"
copper oxide nanoparticles cause a dose-dependent toxicity via inducing reactive oxygen species in drosophila(article)(open access),nanomaterials,"['copper oxide nanoparticle', 'cytotoxicity', 'drosophila melanogaster', 'nrf2', 'reactive oxygen species']"
creative industries policy in thailand: a story of rise and demise(book chapter)(open access),routledge handbook of cultural and creative industries in asia,[]
knowledge attitude and cultural factors toward utilization of insecticide treated nets (itns) among rakhine ethnic group in ann township rakhine state myanmar: cross sectional study(article),journal of health research,"['knowledge attitude cultural factors', 'malaria', 'myanmar', 'utilization of insecticide treated nets']"
