Title,Author,Year,Type of Prize,url
his theory for critical phenomena in connection with phase transitions,['Kenneth G. Wilson'],1982		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1982/summary/
his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,['Aaron Klug'],1982		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1982/summary/
their discoveries concerning prostaglandins and related biologically active substances,"['Sune K. Bergström', 'Bengt I. Samuelsson', 'John R. Vane']",1982		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1982/summary/
"his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",['Gabriel García Márquez'],1982		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1982/summary/
their work for disarmament and nuclear and weapon-free zones,"['Alva Myrdal', 'Alfonso García Robles']",1982		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1982/summary/
"his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",['George J. Stigler'],1982		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1982/summary/
his contribution to the development of high-resolution electron spectroscopy,"['Nicolaas Bloembergen', 'Arthur L. Schawlow']",1981		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1981/summary/
"their theories, developed independently, concerning the course of chemical reactions","['Kenichi Fukui', 'Roald Hoffmann']",1981		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1981/summary/
their discoveries concerning information processing in the visual system,['Roger W. Sperry'],1981		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1981/summary/
"writings marked by a broad outlook, a wealth of ideas and artistic power",['Elias Canetti'],1981		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1981/summary/
promoting the fundamental rights of refugees,['Office of the United Nations High Commissioner for Refugees'],1981		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1981/summary/
"his analysis of financial markets and their relations to expenditure decisions, employment, production and prices",['James Tobin'],1981		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1981/summary/
the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,"['James Cronin', 'Val Fitch']",1980		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1980/summary/
their contributions concerning the determination of base sequences in nucleic acids,['Paul Berg'],1980		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1980/summary/
their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,"['Baruj Benacerraf', 'Jean Dausset', 'George D. Snell']",1980		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1980/summary/
who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,['Czesław Miłosz'],1980		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1980/summary/
"being a source of inspiration to repressed people, especially in Latin America",['Adolfo Pérez Esquivel'],1980		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1980/summary/
the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,['Lawrence R. Klein'],1980		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1980/summary/
"their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","['Sheldon Glashow', 'Abdus Salam', 'Steven Weinberg']",1979		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1979/summary/
"their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis","['Herbert C. Brown', 'Georg Wittig']",1979		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1979/summary/
the development of computer assisted tomography,"['Allan M. Cormack', 'Godfrey N. Hounsfield']",1979		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1979/summary/
"his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",['Odysseus Elytis'],1979		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1979/summary/
her work for bringing help to suffering humanity,['Mother Teresa'],1979		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1979/summary/
their pioneering research into economic development research with particular consideration of the problems of developing countries,"['Theodore W. Schultz', 'Sir Arthur Lewis']",1979		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1979/summary/
their discovery of cosmic microwave background radiation,['Pyotr Kapitsa'],1978		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1978/summary/
his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory,['Peter Mitchell'],1978		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1978/summary/
the discovery of restriction enzymes and their application to problems of molecular genetics,"['Werner Arber', 'Daniel Nathans', 'Hamilton O. Smith']",1978		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1978/summary/
"his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",['Isaac Bashevis Singer'],1978		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1978/summary/
jointly having negotiated peace between Egypt and Israel in 1978,"['Anwar al-Sadat', 'Menachem Begin']",1978		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1978/summary/
his pioneering research into the decision-making process within economic organizations,['Herbert Simon'],1978		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1978/summary/
their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,"['Philip W. Anderson', 'Sir Nevill F. Mott', 'John H. Van Vleck']",1977		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1977/summary/
"his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures",['Ilya Prigogine'],1977		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1977/summary/
the development of radioimmunoassays of peptide hormones,"['Roger Guillemin', 'Andrew V. Schally']",1977		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1977/summary/
"a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars",['Vicente Aleixandre'],1977		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1977/summary/
worldwide respect for human rights,['Amnesty International'],1977		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1977/summary/
their pathbreaking contribution to the theory of international trade and international capital movements,"['Bertil Ohlin', 'James E. Meade']",1977		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1977/summary/
their pioneering work in the discovery of a heavy elementary particle of a new kind,"['Burton Richter', 'Samuel C.C. Ting']",1976		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1976/summary/
his studies on the structure of boranes illuminating problems of chemical bonding,['William Lipscomb'],1976		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1976/summary/
their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,"['Baruch S. Blumberg', 'D. Carleton Gajdusek']",1976		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1976/summary/
the human understanding and subtle analysis of contemporary culture that are combined in his work,['Saul Bellow'],1976		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1976/summary/
the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,"['Betty Williams', 'Mairead Corrigan']",1976		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1976/summary/
"his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy",['Milton Friedman'],1976		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1976/summary/
the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,"['Aage N. Bohr', 'Ben R. Mottelson', 'James Rainwater']",1975		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1975/summary/
his research into the stereochemistry of organic molecules and reactions,['John Cornforth'],1975		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1975/summary/
their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,"['David Baltimore', 'Renato Dulbecco', 'Howard M. Temin']",1975		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1975/summary/
"his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",['Eugenio Montale'],1975		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1975/summary/
"his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",['Andrei Sakharov'],1975		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1975/summary/
their contributions to the theory of optimum allocation of resources,"['Leonid Vitaliyevich Kantorovich', 'Tjalling C. Koopmans']",1975		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1975/summary/
"their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars","['Martin Ryle', 'Antony Hewish']",1974		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1974/summary/
"his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules",['Paul J. Flory'],1974		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1974/summary/
their discoveries concerning the structural and functional organization of the cell,"['Albert Claude', 'Christian de Duve', 'George E. Palade']",1974		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1974/summary/
writings that catch the dewdrop and reflect the cosmos,['Eyvind Johnson'],1974		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1974/summary/
his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty,['Seán MacBride'],1974		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1974/summary/
"their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena","['Gunnar Myrdal', 'Friedrich von Hayek']",1974		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1974/summary/
"his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects","['Leo Esaki', 'Ivar Giaever']",1973		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1973/summary/
"their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds","['Ernst Otto Fischer', 'Geoffrey Wilkinson']",1973		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1973/summary/
their discoveries concerning organization and elicitation of individual and social behaviour patterns,"['Karl von Frisch', 'Konrad Lorenz', 'Nikolaas Tinbergen']",1973		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1973/summary/
an epic and psychological narrative art which has introduced a new continent into literature,['Patrick White'],1973		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1973/summary/
jointly having negotiated a cease fire in Vietnam in 1973,"['Henry Kissinger', 'Le Duc Tho']",1973		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1973/summary/
the development of the input-output method and for its application to important economic problems,['Wassily Leontief'],1973		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1973/summary/
"their jointly developed theory of superconductivity, usually called the BCS-theory","['John Bardeen', 'Leon N. Cooper', 'Robert Schrieffer']",1972		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1972/summary/
their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,['Christian Anfinsen'],1972		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1972/summary/
their discoveries concerning the chemical structure of antibodies,"['Gerald M. Edelman', 'Rodney R. Porter']",1972		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1972/summary/
his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature,['Heinrich Böll'],1972		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1972/summary/
their pioneering contributions to general economic equilibrium theory and welfare theory,"['John R. Hicks', 'Kenneth J. Arrow']",1972		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1972/summary/
his invention and development of the holographic method,['Dennis Gabor'],1971		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1971/summary/
"his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals",['Gerhard Herzberg'],1971		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1971/summary/
his discoveries concerning the mechanisms of the action of hormones,"['Earl W. Sutherland, Jr.']",1971		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1971/summary/
a poetry that with the action of an elemental force brings alive a continent's destiny and dreams,['Pablo Neruda'],1971		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1971/summary/
paving the way for a meaningful dialogue between East and West,['Willy Brandt'],1971		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1971/summary/
his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development,['Simon Kuznets'],1971		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1971/summary/
undamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics,['Hannes Alfvén'],1970		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1970/summary/
his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates,['Luis Leloir'],1970		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1970/summary/
"their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation","['Sir Bernard Katz', 'Ulf von Euler', 'Julius Axelrod']",1970		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1970/summary/
the ethical force with which he has pursued the indispensable traditions of Russian literature,['Aleksandr Solzhenitsyn'],1970		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1970/summary/
having given a well-founded hope - the green revolution,['Norman Borlaug'],1970		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1970/summary/
the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science,['Paul A. Samuelson'],1970		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1970/summary/
his contributions and discoveries concerning the classification of elementary particles and their interactions,['Murray Gell-Mann'],1969		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1969/summary/
their contributions to the development of the concept of conformation and its application in chemistry,"['Derek Barton', 'Odd Hassel']",1969		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1969/summary/
their discoveries concerning the replication mechanism and the genetic structure of viruses,"['Max Delbrück', 'Alfred D. Hershey', 'Salvador E. Luria']",1969		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1969/summary/
"his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation",['Samuel Beckett'],1969		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1969/summary/
creating international legislation insuring certain norms for working conditions in every country,['International Labour Organization'],1969		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1969/summary/
having developed and applied dynamic models for the analysis of economic processes,"['Ragnar Frisch', 'Jan Tinbergen']",1969		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1969/summary/
"his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis",['Luis Alvarez'],1968		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1968/summary/
"the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes",['Lars Onsager'],1968		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1968/summary/
their interpretation of the genetic code and its function in protein synthesis,"['Robert W. Holley', 'H. Gobind Khorana', 'Marshall W. Nirenberg']",1968		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1968/summary/
"his narrative mastery, which with great sensibility expresses the essence of the Japanese mind",['Yasunari Kawabata'],1968		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1968/summary/
his struggle to ensure the rights of man as stipulated in the UN Declaration,['René Cassin'],1968		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1968/summary/
"his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",['Hans Bethe'],1967		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1967/summary/
"their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy","['Manfred Eigen', 'Ronald G.W. Norrish', 'George Porter']",1967		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1967/summary/
their discoveries concerning the primary physiological and chemical visual processes in the eye,"['Ragnar Granit', 'Keffer Hartline', 'George Wald']",1967		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1967/summary/
"his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America",['Miguel Angel Asturias'],1967		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1967/summary/
the discovery and development of optical methods for studying Hertzian resonances in atoms,['Alfred Kastler'],1966		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1966/summary/
his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method,['Robert S. Mulliken'],1966		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1966/summary/
his discoveries concerning hormonal treatment of prostatic cancer,['Peyton Rous'],1966		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1966/summary/
"her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength",['Shmuel Agnon'],1966		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1966/summary/
"their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles","['Sin-Itiro Tomonaga', 'Julian Schwinger', 'Richard P. Feynman']",1965		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1965/summary/
his outstanding achievements in the art of organic synthesis,['Robert B. Woodward'],1965		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1965/summary/
their discoveries concerning genetic control of enzyme and virus synthesis,"['François Jacob', 'André Lwoff', 'Jacques Monod']",1965		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1965/summary/
"the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people",['Mikhail Sholokhov'],1965		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1965/summary/
its effort to enhance solidarity between nations and reduce the difference between rich and poor states,"[""United Nations Children's Fund""]",1965		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1965/summary/
"undamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle","['Charles H. Townes', 'Nicolay G. Basov', 'Aleksandr M. Prokhorov']",1964		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1964/summary/
her determinations by X-ray techniques of the structures of important biochemical substances,['Dorothy Crowfoot Hodgkin'],1964		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1964/summary/
their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,"['Konrad Bloch', 'Feodor Lynen']",1964		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1964/summary/
"his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age",['Jean-Paul Sartre'],1964		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1964/summary/
his non-violent struggle for civil rights for the Afro-American population,['Martin Luther King Jr.'],1964		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1964/summary/
their discoveries concerning nuclear shell structure,['Eugene Wigner'],1963		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1963/summary/
their discoveries in the field of the chemistry and technology of high polymers,"['Karl Ziegler', 'Giulio Natta']",1963		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1963/summary/
their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,"['Sir John Eccles', 'Alan Hodgkin', 'Andrew Huxley']",1963		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1963/summary/
"his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",['Giorgos Seferis'],1963		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1963/summary/
promoting the principles of the Geneva Convention and cooperation with the UN,"['International Committee of the Red Cross', 'League of Red Cross Societies']",1963		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1963/summary/
"his pioneering theories for condensed matter, especially liquid helium",['Lev Landau'],1962		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1962/summary/
their studies of the structures of globular proteins,"['Max F. Perutz', 'John C. Kendrew']",1962		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1962/summary/
their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,"['Francis Crick', 'James Watson', 'Maurice Wilkins']",1962		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1962/summary/
"his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",['John Steinbeck'],1962		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1962/summary/
his fight against the nuclear arms race between East and West,['Linus Pauling'],1962		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1962/summary/
his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name,['Robert Hofstadter'],1961		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1961/summary/
his research on the carbon dioxide assimilation in plants,['Melvin Calvin'],1961		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1961/summary/
his discoveries of the physical mechanism of stimulation within the cochlea,['Georg von Békésy'],1961		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1961/summary/
the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,['Ivo Andrić'],1961		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1961/summary/
"developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",['Dag Hammarskjöld'],1961		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1961/summary/
the invention of the bubble chamber,['Donald A. Glaser'],1960		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1960/summary/
"his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science",['Willard F. Libby'],1960		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1960/summary/
discovery of acquired immunological tolerance,"['Sir Frank Macfarlane Burnet', 'Peter Medawar']",1960		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1960/summary/
the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,['Saint-John Perse'],1960		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1960/summary/
his non-violent struggle against apartheid,['Albert Lutuli'],1960		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1960/summary/
their discovery of the antiproton,"['Emilio Segrè', 'Owen Chamberlain']",1959		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1959/summary/
his discovery and development of the polarographic methods of analysis,['Jaroslav Heyrovsky'],1959		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1959/summary/
their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,"['Severo Ochoa', 'Arthur Kornberg']",1959		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1959/summary/
"his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times",['Salvatore Quasimodo'],1959		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1959/summary/
his longstanding contribution to the cause of disarmament and peace,['Philip Noel-Baker'],1959		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1959/summary/
the discovery and the interpretation of the Cherenkov effect,"['Pavel A. Cherenkov', 'Il´ja M. Frank', 'Igor Y. Tamm']",1958		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1958/summary/
"his work on the structure of proteins, especially that of insulin",['Frederick Sanger'],1958		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1958/summary/
his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,"['George Beadle', 'Edward Tatum']",1958		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1958/summary/
his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,['Boris Pasternak'],1958		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1958/summary/
his efforts to help refugees to leave their camps and return to a life of freedom and dignity,['Georges Pire'],1958		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1958/summary/
their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,"['Chen Ning Yang', 'Tsung-Dao Lee']",1957		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1957/summary/
his work on nucleotides and nucleotide co-enzymes,['Lord Todd'],1957		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1957/summary/
"his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",['Daniel Bovet'],1957		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1957/summary/
"his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",['Albert Camus'],1957		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1957/summary/
his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,['Lester Bowles Pearson'],1957		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1957/summary/
their researches on semiconductors and their discovery of the transistor effect,"['William B. Shockley', 'John Bardeen', 'Walter H. Brattain']",1956		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1956/summary/
their researches into the mechanism of chemical reactions,"['Sir Cyril Hinshelwood', 'Nikolay Semenov']",1956		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1956/summary/
their discoveries concerning heart catheterization and pathological changes in the circulatory system,"['André F. Cournand', 'Werner Forssmann', 'Dickinson W. Richards']",1956		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1956/summary/
"his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",['Juan Ramón Jiménez'],1956		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1956/summary/
his precision determination of the magnetic moment of the electron,['Willis E. Lamb'],1955		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1955/summary/
"his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone",['Vincent du Vigneaud'],1955		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1955/summary/
his discoveries concerning the nature and mode of action of oxidation enzymes,['Hugo Theorell'],1955		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1955/summary/
his vivid epic power which has renewed the great narrative art of Iceland,['Halldór Laxness'],1955		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1955/summary/
the coincidence method and his discoveries made therewith,['Max Born'],1954		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1954/summary/
his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,['Linus Pauling'],1954		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1954/summary/
their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,"['John F. Enders', 'Thomas H. Weller', 'Frederick C. Robbins']",1954		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1954/summary/
"his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style",['Ernest Hemingway'],1954		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1954/summary/
its efforts to heal the wounds of war by providing help and protection to refugees all over the world,['Office of the United Nations High Commissioner for Refugees'],1954		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1954/summary/
"his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",['Frits Zernike'],1953		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1953/summary/
